director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,tmdb_ratings
Anthony Russo and Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Adventure Action Science Fiction,avengers: infinity war,8.3
Sebastián Lelio,Rachel Weisz,Rachel McAdams,Alessandro Nivola,Drama Romance,disobedience,6.9
Per Fly,Ben Kingsley,Theo James,Jacqueline Bisset,Thriller Drama History,backstabbing for beginners,6.2
Deniz Gamze Ergüven,Halle Berry,Daniel Craig,unknown,Drama,kings,7.9
"Rob Greenberg, Bob Fisher ",Anna Faris,Eugenio Derbez,Eva Longoria,Romance Comedy,overboard,6.6
Jason Reitman,Charlize Theron,Mackenzie Davis,Mark Duplass,Drama,tully,6.8
Dean Devlin,David Tennant,Robert Sheehan,Carlito Olivero,Thriller Crime Horror,bad samaritan,6.6
Bobby Miller,Johnny Galecki,Anna Friel,Oliver Platt,Drama Comedy Fantasy,the cleanse,5.4
Xavier Beauvois,Nathalie Baye,unknown,unknown,Animation Family Fantasy Action Adventure,the guardians,7.3
Ben Falcone,Melissa McCarthy,Maya Rudolph,Molly Gordon,Comedy,life of the party,6.2
James McTeigue,Gabrielle Union,Billy Burke,Richard Cabral,Thriller Crime Action Horror,breaking in,5.9
Michael Mayer,Saoirse Ronan,Annette Bening,Corey Stoll,Drama Romance Comedy,the seagull,5.7
Vaughn Stein,Margot Robbie,Simon Pegg,Dexter Fletcher,Crime Drama Thriller,terminal,7.3
Coralie Fargeat,Matilda Lutz,Kevin Janssens,Vincent Colombe,Action Thriller Horror,revenge,6.3
David Leitch,Ryan Reynolds,Josh Brolin,Zazie Beetz,Action Comedy Adventure,deadpool 2,7.5
Bill Holderman,Jane Fonda,Candice Bergen,Mary Steenburgen,Comedy Romance Drama,book club,6.1
Paul Schrader,Ethan Hawke,Amanda Seyfried,Cedric Kyles,Drama,first reformed,7
Wim Wenders,Wim Wenders (director); Pope Francis,unknown,unknown,Documentary,pope francis: a man of his word,7.3
Raja Gosnell,Will Arnett,Natasha Lyonne,Ludacris,Adventure Crime Family Comedy,show dogs,5.8
Ron Howard,Alden Ehrenreich,Woody Harrelson,Emilia Clarke,Adventure Science Fiction,solo: a star wars story,6.6
John Cameron Mitchell,Elle Fanning,Alex Sharp,Nicole Kidman,Comedy Music Romance Science Fiction,how to talk to girls at parties,6.2
Anthony Byrne,Natalie Dormer,Emily Ratajkowski,Ed Skrein,Thriller Mystery,in darkness,6
Bruce LaBruce,Susanne Sachße,Viva Ruiz,Kembra Pfahler,Drama,the misandrists,3.6
"James Franco, Bruce Thierry Cheung",James Franco,Suki Waterhouse,Jeffrey Wahlberg,Science Fiction,future world,4.2
Tim Kirkby,Johnny Knoxville,Chris Pontius,unknown,Comedy Drama,action point,5.4
Baltasar Kormákur,Shailene Woodley,Sam Claflin,unknown,Thriller Romance Adventure,adrift,6.8
Leigh Whannell,Logan Marshall-Green,Betty Gabriel,Harrison Gilbertson,Action Thriller Science Fiction,upgrade,7.5
Bart Layton,Evan Peters,Barry Keoghan,Blake Jenner,Drama Crime Documentary,american animals,6.9
Theresa Bennett,Noël Wells,Josh Radnor,Aya Cash,Comedy Romance,social animals,6.5
Gary Ross,Sandra Bullock,Cate Blanchett,Anne Hathaway,Crime Comedy Action Thriller,ocean's 8,7
Morgan Neville,Morgan Neville (director); Fred Rogers,unknown,unknown,Documentary,won't you be my neighbor?,8.2
Ari Aster,Toni Collette,Alex Wolff,Milly Shapiro,Horror Mystery Thriller,hereditary,7.2
Drew Pearce,Jodie Foster,Sterling K. Brown,Sofia Boutella,Thriller Science Fiction Action,hotel artemis,6
Director X,Trevor Jackson,Jason Mitchell,Michael K. Williams,Action Crime,superfly,6.8
Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Action Adventure Animation Family,incredibles 2,7.5
Jeff Tomsic,Ed Helms,Jeremy Renner,Jon Hamm,Comedy Drama,tag,6.7
Dominic Cooke,Saoirse Ronan,Billy Howle,Emily Watson,Drama Romance,on chesil beach,6.2
Kevin Connolly,John Travolta,Kelly Preston,Stacy Keach,Crime Drama History Thriller,gotti,5.2
J.A. Bayona,Chris Pratt,Bryce Dallas Howard,Rafe Spall,Action Adventure Science Fiction,jurassic world: fallen kingdom,6.6
Shana Feste,Vera Farmiga,Christopher Plummer,Lewis MacDougall,Comedy Drama,boundaries,5.6
"David Zellner, Nathan Zellner",Robert Pattinson,Mia Wasikowska,unknown,Comedy Western,damsel,5.1
Mike P. Nelson,Tyler Hoechlin,Kate Bosworth,Lance Reddick,Thriller Horror,the domestics,6.1
Stefano Sollima,Benicio del Toro,Josh Brolin,Isabela Moner,Action Crime Drama Thriller,sicario: day of the soldado,6.8
Debra Granik,Ben Foster,Thomasin McKenzie,Jeff Kober,Drama,leave no trace,6.8
Charles Stone III,Kyrie Irving,Lil Rel Howery,Shaquille O'Neal,Comedy,uncle drew,6.7
Susanna White,Jessica Chastain,Michael Greyeyes,Chaske Spencer,Drama History Western,woman walks ahead,6.8
Gerard McMurray,Y'lan Noel,Lex Scott Davis,Joivan Wade,Action Science Fiction Thriller Horror,the first purge,5.9
Peyton Reed,Paul Rudd,Evangeline Lilly,Michael Peña,Action Adventure Science Fiction Comedy,ant-man and the wasp,7
Boots Riley,Lakeith Stanfield,Tessa Thompson,Armie Hammer,Fantasy Science Fiction Comedy,sorry to bother you,6.9
Kevin MacDonald,Whitney Houston,unknown,unknown,Documentary,whitney,7.6
Genndy Tartakovsky,Adam Sandler,Andy Samberg,Selena Gomez,Family Fantasy Comedy Animation,hotel transylvania 3: summer vacation,6.9
Rawson Marshall Thurber,Dwayne Johnson,Neve Campbell,Chin Han,Action,skyscraper,6.3
Bo Burnham,Elsie Fisher,Josh Hamilton,Emily Robinson,Comedy Drama,eighth grade,7.3
Gus Van Sant,Joaquin Phoenix,Rooney Mara,Jonah Hill,Comedy Drama,"don't worry, he won't get far on foot",6.7
Rob Reiner,Woody Harrelson,Tommy Lee Jones,James Marsden,Drama History Thriller,shock and awe,6.6
Ol Parker,Lily James,Amanda Seyfried,Pierce Brosnan,Comedy Romance,mamma mia! here we go again,7.2
Antoine Fuqua,Denzel Washington,Ashton Sanders,Pedro Pascal,Thriller Action Crime,the equalizer 2,6.5
Carlos López Estrada,Janina Gavankar,Ethan Embry,Daveed Diggs,Comedy Drama,blindspotting,7.5
Stephen Susco,Colin Woodell,Rebecca Rittenhouse,Betty Gabriel,Horror Mystery Thriller,unfriended: dark web,6.3
Shinsuke Sato,Shinsuke Sato (director); Sota Fukushi,Hana Sugisaki,unknown,Action Fantasy Adventure,bleach,6.7
Édouard Deluc,Vincent Cassel,Tuheï Adams,Malik Zidi,Drama Romance,gauguin – voyage de tahiti,5.7
Christopher McQuarrie,Tom Cruise,Henry Cavill,Ving Rhames,Action Adventure,mission: impossible – fallout,7.4
Peter Rida Michail,Scott Menville,Khary Payton,Tara Strong,Animation Action Comedy Science Fiction,teen titans go! to the movies,7.4
Tsui Hark,Tsui Hark (director),Chang Chia-lu,Chen Kuo-Fu (screenplay),Mystery Fantasy Adventure Action,detective dee: the four heavenly kings,6.4
Elijah Bynum,Timothée Chalamet,Maika Monroe,Alex Roe,Drama Comedy,hot summer nights,6.8
Marc Turtletaub,Kelly Macdonald,Irrfan Khan,David Denman,Drama,puzzle,6.7
Marc Forster,Ewan McGregor,Hayley Atwell,Jim Cummings,Adventure Comedy Family Fantasy,christopher robin,7.4
Jennifer Yuh Nelson,Amandla Stenberg,Mandy Moore,Harris Dickinson,Science Fiction Action Drama Romance Adventure Thriller,the darkest minds,7
Susanna Fogel,Mila Kunis,Kate McKinnon,Justin Theroux,Action Comedy,the spy who dumped me,6.4
Desiree Akhavan,Chloë Grace Moretz,Sasha Lane,John Gallagher,Drama,the miseducation of cameron post,6.9
Augustine Frizzell,Maia Mitchell,Camila Morrone,Kyle Mooney,Comedy,never goin' back,6.1
Ken Marino,Nina Dobrev,Finn Wolfhard,Vanessa Hudgens,Comedy Romance Drama,dog days,6.7
Jon Turteltaub,Jason Statham,Li Bingbing,Rainn Wilson,Action Science Fiction Horror,the meg,6.1
Spike Lee,John David Washington,Adam Driver,Laura Harrier,Crime Drama History Comedy,blackkklansman,7.6
Sylvain White,Joey King,Julia Goldani Telles,Jaz Sinclair,Mystery Thriller Horror,slender man,4.3
Jean-Stéphane Sauvaire,Joe Cole,unknown,unknown,Drama Action Crime,a prayer before dawn,6.8
Jon M. Chu,Constance Wu,Henry Golding,Gemma Chan,Comedy Drama Romance,crazy rich asians,7.1
Albert Hughes,Kodi Smit-McPhee,Leonor Varela,Jens Hultén,Adventure Drama,alpha,6.3
Peter Berg,Mark Wahlberg,John Malkovich,Lauren Cohan,Action Thriller,mile 22,6.1
Björn Runge,Glenn Close,Jonathan Pryce,Christian Slater,Drama,the wife,7.1
James Cox,Ansel Elgort,Taron Egerton,Kevin Spacey,Drama Thriller,billionaire boys club,5.6
Jesse Peretz,Ethan Hawke,Rose Byrne,unknown,Comedy Drama Romance,"juliet, naked",6.4
Rodrigo Cortés,AnnaSophia Robb,Uma Thurman,Isabelle Fuhrman,Thriller Drama Fantasy Horror,down a dark hall,5.5
Brian Henson,Melissa McCarthy,Maya Rudolph,Joel McHale,Action Comedy Crime,the happytime murders,5.7
Aneesh Chaganty,John Cho,Debra Messing,unknown,Thriller Mystery Drama,searching,7.6
Michael Noer,Charlie Hunnam,Rami Malek,unknown,Drama History Crime,papillon,7.4
Oliver Daly,Alex Neustaedter,Becky G,Alex MacNicoll,Science Fiction Action Adventure Family,a.x.l.,6.2
Chris Weitz,Oscar Isaac,Ben Kingsley,Lior Raz,Drama History Thriller,operation finale,6.7
"Jonathan Baker, Josh Baker",Myles Truitt,Jack Reynor,Zoë Kravitz,Science Fiction Action,kin,6.1
Lenny Abrahamson,Domhnall Gleeson,Ruth Wilson,Will Poulter,Mystery Drama Horror History,the little stranger,5.7
Victor Levin,Winona Ryder,Keanu Reeves,unknown,Romance Comedy Drama,destination wedding,5.7
Corin Hardy,Demián Bichir,Taissa Farmiga,Jonas Bloquet,Horror Mystery Thriller,the nun,5.8
Pierre Morel,Jennifer Garner,John Ortiz,Juan Pablo Raba,Action Thriller,peppermint,6.6
Shane Black,Boyd Holbrook,Trevante Rhodes,Jacob Tremblay,Science Fiction Action Thriller Adventure Horror Comedy,the predator,5.5
Yann Demange,Matthew McConaughey,Richie Merritt,Bel Powley,Crime Drama,white boy rick,6.3
Paul Feig,Anna Kendrick,Blake Lively,Henry Golding,Crime Comedy Mystery Drama Thriller,a simple favor,6.6
Richard Eyre,Emma Thompson,Stanley Tucci,Fionn Whitehead,Drama,the children act,6.6
Craig William Macneill,Chloë Sevigny,Kristen Stewart,Jay Huguley,Crime Drama Thriller,lizzie,6.1
Harold Cronk,Samuel Hunt,Merritt Patterson,Vanessa Bell Calloway,Drama,unbroken: path to redemption,6.6
Eli Roth,Jack Black,Cate Blanchett,Owen Vaccaro,Fantasy Family Comedy,the house with a clock in its walls,6.3
Dan Fogelman,Oscar Isaac,Olivia Wilde,Mandy Patinkin,Drama Romance,life itself,7.2
Jacques Audiard,John C. Reilly,Joaquin Phoenix,Jake Gyllenhaal,Western Drama Adventure,the sisters brothers,6.9
Sam Levinson,Odessa Young,Suki Waterhouse,Hari Nef,Thriller Comedy Horror,assassination nation,6.3
Wash Westmoreland,Keira Knightley,Dominic West,unknown,Drama History,colette,7
Michael Moore,Michael Moore (director/screenplay),unknown,unknown,Documentary,fahrenheit 11/9,7.2
Christian Carion,Guillaume Canet,Melanie Laurent,unknown,Crime Drama Thriller,my son,6.2
Lisa Dapolito,Lisa Dapolito (director); Gilda Radner,unknown,unknown,Documentary,"love, gilda",7.3
Kenji Nagasaki,Justin Briner,Christopher R. Sabat,Clifford Chapin,Animation Action Comedy Fantasy Adventure,my hero academia: two heroes,8.1
Karey Kirkpatrick,Channing Tatum,James Corden,Zendaya,Animation Family Adventure Fantasy,smallfoot,6.8
Malcolm D. Lee,Kevin Hart,Tiffany Haddish,Rob Riggle,Comedy,night school,6.2
David Lowery,Robert Redford,Casey Affleck,Danny Glover,Comedy Crime Drama,the old man & the gun,6.4
Gregory Plotkin,Bex Taylor-Klaus,Amy Forsyth,Reign Edwards,Horror,hell fest,5.6
Dave Christiano,Nicholas X. Parsons,Patty Duke,Michael Gross,,power of the air,
Ruben Fleischer,Tom Hardy,Michelle Williams,Riz Ahmed,Science Fiction Action,venom,6.7
Bradley Cooper,Bradley Cooper,Lady Gaga,Sam Elliott,Drama Romance Music,a star is born,7.5
George Tillman Jr.,Amandla Stenberg,Regina Hall,Russell Hornsby,Crime Drama,the hate u give,8.3
Rupert Everett,Rupert Everett,Colin Firth,Colin Morgan,Drama,the happy prince,6.6
Damien Chazelle,Ryan Gosling,Claire Foy,Jason Clarke,History Drama,first man,7.1
Drew Goddard,Jeff Bridges,Cynthia Erivo,Dakota Johnson,Thriller Drama Mystery,bad times at the el royale,6.8
Ari Sandel,Wendi McLendon-Covey,Madison Iseman,Jeremy Ray Taylor,Adventure Comedy Fantasy Family Horror,goosebumps 2: haunted halloween,6
Felix van Groeningen,Steve Carell,Timothée Chalamet,Maura Tierney,Drama,beautiful boy,7.5
Ike Barinholtz,Ike Barinholtz,Tiffany Haddish,Nora Dunn,Comedy,the oath,5.7
Nick Searcy, Earl Billings,Dean Cain,Sarah Jane Morris,Drama Crime,gosnell: the trial of america's biggest serial killer,5.9
David Gordon Green,Jamie Lee Curtis,Judy Greer,Andi Matichak,Animation Family Mystery Comedy Crime,halloween,7.9
Marielle Heller,Melissa McCarthy,Richard E. Grant,unknown,Drama Crime Comedy,can you ever forgive me?,6.8
Jonah Hill,Sunny Suljic,Lucas Hedges,Katherine Waterston,Drama,mid90s,7.5
Paul Dano,Carey Mulligan,Jake Gyllenhaal,Ed Oxenbould,Drama,wildlife,6.8
Elizabeth Chomko,Hilary Swank,Michael Shannon,Robert Forster,Drama,what they had,6.6
Donovan Marsh,Gerard Butler,Gary Oldman,Common,Action Thriller,hunter killer,6.7
David Kerr,Rowan Atkinson,Olga Kurylenko,Ben Miller,Action Adventure Comedy,johnny english strikes again,6.3
Luca Guadagnino,Dakota Johnson,Tilda Swinton,Mia Goth,Horror Fantasy,suspiria,6.9
David G. Evans,Sarah Drew,Justin Bruening,Jason George,Drama War,indivisible,6.9
David McCracken,Mike C. Nelson,Jenni Melear,David McCracken,Action Drama Thriller,bullitt county,5.3
Bryan Singer,Rami Malek,Lucy Boynton,Gwilym Lee,Drama Music,bohemian rhapsody,8
