director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,tmdb_ratings
Kim Farrant,Nicholas Hamilton,Reef Ireland,Sean Keenan,Drama Mystery Thriller,strangerland,5.2
Marcus Raboy,Mike Epps,Tamala Jones,Glenn Plummer,Comedy Crime Music,the janky promoters,6.1
Scott Marshall,Drew Fuller,Drew Waters,Larry Miller,Comedy Romance,blonde ambition,4.4
Álex de la Iglesia,Jim Carter,Leonor Watling,Danny Sapani,Crime Mystery Thriller,the oxford murders,6
Andrew Traucki,Damian Walshe-Howling,Gyton Grantley,Adrienne Pickering,Horror Thriller,the reef,5.6
Michael Clancy,Zooey Deschanel,Rip Torn,Kelly Preston,Comedy Drama,eulogy,6.3
Patrick Lussier,Teryl Rothery,Craig Fairbrass,Adrian Holmes,Drama Fantasy Horror Thriller,white noise 2: the light,5.5
Robert Adetuyi,Shane Pollard,Mishael Morgan,Chase Armitage,Drama Music,you got served: beat the world,5
Kari Skogland,Jim Sturgess,Kevin Zegers,Michael McElhatton,Drama Thriller,fifty dead men walking,6.4
Taedong Park,Drake Bell,Tom Arnold,Amanda Troop,Adventure Animation,jungle shuffle,5.3
Paul Schrader,Veronica Ferres,Ayelet Zurer,Derek Jacobi,Drama War,adam resurrected,6.3
Benedikt Erlingsson,Ingvar Eggert Sigurðsson,Charlotte Bøving,Sigríður María Egilsdóttir,Comedy Drama Romance,of horses and men,7
Gurinder Chadha,Sendhil Ramamurthy,Mark Addy,Shabana Azmi,Comedy Drama Horror Romance,it's a wonderful afterlife,4.5
Jason Connery,Ray Winstone,Henry Rollins,Jason London,Action Horror Sci-Fi,the devil's tomb,4.2
Vic Sarin,Jimi Mistry,Jesse Moss,John Light,Drama Romance,partition,5.7
Jim Issa,Elaine Hendrix,Luke Perry,Jon Gries,Comedy,good intentions,4.8
Jee-woon Kim,Kang-ho Song,Woo-sung Jung,Dal-su Oh,Action Adventure Comedy Western,"the good, the bad, the weird",7.2
Douglas Aarniokoski,Boris Kodjoe,Katrina Bowden,Kathleen Turner,Horror Thriller,nurse 3d,5
William Phillips,Tyler Mane,Callum Rennie,Dustin Milligan,Action Comedy Drama Western,gunless,6.5
Greg Mottola,Kristen Stewart,Martin Starr,Wendie Malick,Comedy Drama Romance,adventureland,6.4
Andy Garcia,Danny Pino,Victor Rivers,Enrique Murciano,Drama Romance,the lost city,6.8
Steve Carr,John Witherspoon,Mike Epps,Rolando Molina,Comedy,next friday,6.4
Sarik Andreasyan,Hayden Christensen,Jordana Brewster,Akon,Action Crime Drama Thriller,american heist,4.7
Lewis Gilbert,Donald Pleasence,Burt Kwouk,Desmond Llewelyn,Action Adventure Thriller,you only live twice,6.6
Julian Gilbey,Mem Ferda,Alfie Allen,Malese Jow,Action Comedy Crime Drama,plastic,6.1
Michael Haneke,Isabelle Huppert,Emmanuelle Riva,Jean-Louis Trintignant,Drama Romance,amour,7.8
Gary Sherman,Tom Skerritt,Heather O'Rourke,Zelda Rubinstein,Horror Thriller,poltergeist iii,5.1
Valeri Milev,Daniella Alonso,Roger Cross,Jesse Garcia,Action Horror,re-kill,4.9
Stanley Kramer,Jonathan Winters,Sid Caesar,Spencer Tracy,Action Adventure Comedy Crime,"it's a mad, mad, mad, mad world",7.1
Pedro Almodóvar,Carmen Maura,Lola Dueñas,Antonio de la Torre,Comedy Crime Drama Mystery,volver,7.5
Gerald Potterton,John Vernon,Joe Flaherty,Don Francks,Adventure Animation Fantasy Horror Sci-Fi,heavy metal,6.4
Jared Hess,Jizelle Jade,Michael Angarano,Héctor Jiménez,Adventure Comedy Sci-Fi,gentlemen broncos,5.9
Richard Loncraine,Robert Downey Jr.,Jim Broadbent,Kristin Scott Thomas,Drama War,richard iii,6.7
David Hackl,Scott Glenn,Michaela McManus,Luisa D'Oliveira,Action Horror Thriller,into the grizzly maze,5.3
Anurag Basu,Bárbara Mori,Steven Michael Quezada,Kabir Bedi,Action Drama Romance Thriller,kites,6.7
Lars von Trier,Alexander Skarsgård,Kirsten Dunst,Charlotte Rampling,Drama Sci-Fi,melancholia,7.2
Kriv Stenders,Noah Taylor,Keisha Castle-Hughes,Luke Ford,Biography Comedy Drama Family Romance,red dog,7
Yash Chopra,Shah Rukh Khan,Katrina Kaif,Vic Waghorn,Drama Romance,jab tak hai jaan,6.8
Ridley Scott,Tom Skerritt,Yaphet Kotto,Bolaji Badejo,Horror Sci-Fi,alien,7
Tobe Hooper,Gunnar Hansen,Edwin Neal,Marilyn Burns,Horror Thriller,the texas chain saw massacre,7.3
Floria Sigismondi,Kristen Stewart,Scout Taylor-Compton,Johnny Lewis,Biography Drama Music,the runaways,6.5
Norman Jewison,Topol,Paul Michael Glaser,Rosalind Harris,Drama Family Musical Romance,fiddler on the roof,7.7
Terence Young,Desmond Llewelyn,Earl Cameron,Lois Maxwell,Action Adventure Thriller,thunderball,6.6
Joseph Kahn,Josh Hutcherson,Shanley Caswell,Parker Bagley,Comedy Horror Sci-Fi,detention,5.6
Ferzan Ozpetek,Riccardo Scamarcio,Alessandro Preziosi,Lunetta Savino,Comedy Drama Romance,loose cannons,5.1
F. Gary Gray,Vivica A. Fox,Jada Pinkett Smith,Blair Underwood,Action Crime Drama Romance Thriller,set it off,7.2
Malcolm D. Lee,Harold Perrineau,Sanaa Lathan,Jarrod Bunch,Comedy Drama,the best man,6.7
Tom Holland,Catherine Hicks,Alex Vincent,Dinah Manoff,Fantasy Horror,child's play,6.6
Michael Moore,Michael Moore,Tucker Albrizzi,Bill Clinton,Documentary Drama,sicko,7.4
James DeMonaco,Noel Gugliemi,Zach Gilford,Roberta Valderrama,Action Horror Sci-Fi Thriller,the purge: anarchy,6.6
Kris Isacsson,Rosario Dawson,Lauren German,Shawn Hatosy,Comedy Drama Romance,down to you,5.2
Danny Leiner,Ethan Embry,Fred Willard,Paula Garcés,Adventure Comedy,harold & kumar go to white castle,6.5
Rod Lurie,Jeff Bridges,Gary Oldman,William Petersen,Drama Thriller,the contender,6.7
Ben Younger,Vin Diesel,Nia Long,Herbert Russell,Crime Drama Thriller,boiler room,6.7
John Landis,Don Ameche,Denholm Elliott,Ralph Bellamy,Comedy,trading places,7.2
Glen Morgan,Oliver Hudson,Crystal Lowe,Andrea Martin,Horror,black christmas,4.9
Daniel Taplitz,Jennifer Esposito,Tate Taylor,Patrick Cranshaw,Comedy Romance,breakin' all the rules,5.8
Kenneth Branagh,Brian Blessed,Derek Jacobi,Danny Webb,Action Biography Drama History Romance War,henry v,7.3
Tamara Jenkins,Philip Seymour Hoffman,David Zayas,Gbenga Akinnagbe,Comedy Drama,the savages,6.8
Linda Mendoza,Carlos Ponce,Freddy Rodríguez,Maria Conchita Alonso,Comedy Romance,chasing papi,7
Christopher McQuarrie,Kristin Lehman,Nicky Katt,Dylan Kussman,Action Crime Drama Thriller,the way of the gun,6.4
Burr Steers,Kieran Culkin,Rory Culkin,Bill Irwin,Comedy Drama,igby goes down,6.6
Hart Bochner,Jon Favreau,Matt Ross,Chris Young,Comedy,pcu,6.1
Michael O. Sajbel,Bill Cobbs,Drew Fuller,Mircea Monroe,Drama Family Romance,the ultimate gift,7.6
Stewart Raffill,Anjelica Huston,John Carradine,Robert Urich,Action Adventure Comedy Romance Sci-Fi,the ice pirates,5.8
Davis Guggenheim,Emma Bell,John Doman,Carly Schroeder,Biography Drama Sport,gracie,6.4
Bart Freundlich,Billy Crudup,Garry Shandling,Dagmara Dominczyk,Comedy Drama Romance,trust the man,5.4
Andrew Fleming,Steve Coogan,Amy Poehler,David Arquette,Comedy Music,hamlet 2,6
Todd Haynes,Christian Bale,Eddie Izzard,Janet McTeer,Drama Music,velvet goldmine,6.9
Hong-jin Na,Jung-min Hwang,Jun Kunimura,Woo-hee Chun,Fantasy Horror Mystery Thriller,the wailing,7.3
Kevin Tancharoen,Lea Michele,Heather Morris,Kevin McHale,Documentary Music,glee: the 3d concert movie,7.4
Chatrichalerm Yukol,Sarunyu Wongkrachang,Chatchai Plengpanich,Mai Charoenpura,Action Adventure Drama History War,the legend of suriyothai,5.9
Dario Argento,John Amos,Adrienne Barbeau,Sally Kirkland,Horror,two evil eyes,6
Eric Lavaine,Lambert Wilson,Julie Engelbrecht,Lionel Abelanski,Comedy,barbecue,5.8
Mike Leigh,Lesley Manville,Ruth Sheen,Gary McDonald,Drama,all or nothing,7.1
Marc Forby,Q'orianka Kilcher,Will Patton,Shaun Evans,Drama,princess kaiulani,5.6
Peter Cattaneo,Jacqueline McKenzie,Vince Colosimo,Peter Callan,Drama Family,opal dream,6.6
Scott Mann,Robert De Niro,Joshua Mikel,D.B. Sweeney,Action Crime Thriller,heist,6
Ole Christian Madsen,Lars Mikkelsen,Thure Lindhardt,Christian Berkel,Drama History Thriller War,flame and citron,7
Meiert Avis,Fisher Stevens,Kip Pardue,Perrey Reeves,Comedy Music Romance,undiscovered,4.6
Julian Jarrold,Andrew Garfield,Warren Clarke,John Henshaw,Crime Drama Mystery Thriller,red riding: in the year of our lord 1974,6.7
André Téchiné,Catherine Deneuve,Ronit Elkabetz,Émilie Dequenne,Drama,the girl on the train,6.4
Emily Young,Sarah Michelle Gellar,Erika Christensen,Jonathan Tucker,Drama Romance,veronika decides to die,6
Peter Faiman,Paul Hogan,Linda Kozlowski,David Gulpilil,Adventure Comedy,crocodile dundee,6.3
Martyn Pick,Sean Pertwee,Steven Waddington,Donald Sumpter,Action Animation Fantasy Horror Mystery Sci-Fi Thriller,"ultramarines: a warhammer 40,000 movie",5.7
Roland Suso Richter,Stephen Graham,Sarah Polley,Stephen Rea,Mystery Sci-Fi Thriller,the i inside,5.9
Jeremy Sims,Harrison Gilbertson,Gyton Grantley,Steve Le Marquand,Drama History War,beneath hill 60,6.9
Maïwenn,Riccardo Scamarcio,Maïwenn,Karin Viard,Crime Drama,polisse,7.8
Joby Harold,Hayden Christensen,Fisher Stevens,Denis O'Hare,Crime Mystery Thriller,awake,6.3
Ekachai Uekrongtham,Michael Jai White,Mike Dopud,Celina Jade,Action Crime Thriller,skin trade,6
Joel Schumacher,Dianne Wiest,Jami Gertz,Jason Patric,Comedy Fantasy Horror,the lost boys,7
Scott Cooper,Jeff Bridges,Beth Grant,Debrianna Mansini,Drama Music Romance,crazy heart,6.9
Mark Rydell,David Keith,Frederic Forrest,Alan Bates,Drama Music Romance,the rose,7.4
David E. Talbert,Djimon Hounsou,Christina Milian,Boris Kodjoe,Comedy,baggage claim,5.4
Roger Vadim,Jane Fonda,David Hemmings,Milo O'Shea,Adventure Comedy Fantasy Sci-Fi,barbarella,5.9
Nils Gaup,Bjørn Sundquist,Louisa Milwood-Haigh,Stian Smestad,Adventure Family,shipwrecked,8.5
Alexander Payne,Matthew Broderick,Chris Klein,Molly Hagan,Comedy Drama,election,6.4
Mira Nair,Jacinda Barrett,Brooke Smith,Tabu,Drama,the namesake,6.7
Ari Sandel,Bella Thorne,Romany Malco,Skyler Samuels,Comedy,the duff,6.8
Vondie Curtis-Hall,Mariah Carey,Max Beesley,Valarie Pettiford,Drama Music Romance,glitter,4.4
Tom Elkins,Abigail Spencer,Cicely Tyson,Brad James,Drama Horror Mystery Thriller,the haunting in connecticut 2: ghosts of georgia,5.8
Woo-Suk Kang,Yu-mi Jeong,Sung-kee Ahn,Kyung-gu Sol,Action Drama,silmido,6.7
Jane Campion,Abbie Cornish,Paul Schneider,Samuel Roukin,Biography Drama Romance,bright star,
Karan Johar,Shah Rukh Khan,Jimmy Shergill,Christopher B. Duncan,Adventure Drama Thriller,my name is khan,8.1
Herbert Ross,Dianne Wiest,Chris Penn,Lori Singer,Drama Music Romance,footloose,6.6
J.C. Chandor,Robert Redford,unknown,unknown,Action Adventure Drama,all is lost,6.6
John Sayles,Mary Elizabeth Mastrantonio,Casey Siemaszko,Vanessa Martinez,Adventure Drama Thriller,limbo,5.5
Vipul Amrutlal Shah,Katrina Kaif,Clive Standen,Riteish Deshmukh,Comedy Drama Romance,namastey london,6.3
Ken Loach,Padraic Delaney,Orla Fitzgerald,Martin Lucey,Drama War,the wind that shakes the barley,7.4
Ayan Mukerji,Ranbir Kapoor,Madhuri Dixit,Aditya Roy Kapoor,Comedy Drama Musical Romance,yeh jawaani hai deewani,7.3
John G. Avildsen,Martin Kove,William Zabka,William Bassett,Action Drama Family Sport,the karate kid,6.4
Mervyn LeRoy,Peter Ustinov,Deborah Kerr,Robert Taylor,Biography Drama History Romance,quo vadis,7
Darren Lynn Bousman,Alexa PenaVega,Paris Hilton,Paul Sorvino,Horror Musical Sci-Fi,repo! the genetic opera,6.4
Serdar Akar,Necati Sasmaz,Bergüzar Korel,Ghassan Massoud,Action Adventure,valley of the wolves: iraq,4.3
Quentin Tarantino,Bruce Willis,Eric Stoltz,Phil LaMarr,Crime Drama,pulp fiction,8.5
James Frawley,Madeline Kahn,Jim Henson,Dom DeLuise,Adventure Comedy Family Musical,the muppet movie,7.1
Dan Gilroy,Jake Gyllenhaal,Michael Papajohn,James Huang,Crime Drama Thriller,nightcrawler,7.7
Jay Chandrasekhar,Brittany Daniel,Lindsay Price,Jay Chandrasekhar,Comedy Horror Thriller,club dread,5.2
Robert Wise,Eleanor Parker,Angela Cartwright,Nicholas Hammond,Biography Drama Family Musical Romance,the sound of music,7.7
Ron Howard,Tom Hanks,Howard Morris,Patrick Cronin,Comedy Fantasy Romance,splash,6.3
Jonathan Dayton,Steve Carell,Steven Christopher Parker,Jill Talley,Comedy Drama,little miss sunshine,7.6
Rob Reiner,Marshall Bell,Frances Lee McCain,Casey Siemaszko,Adventure Drama,stand by me,7.3
Danny Boyle,Noah Huntley,Megan Burns,David Schneider,Drama Horror Sci-Fi Thriller,28 days later...,7.2
Chris Stokes,Jennifer Freeman,Marques Houston,Steve Harvey,Drama Music,you got served,6.1
Don Siegel,Clint Eastwood,Patrick McGoohan,Fred Ward,Biography Crime Drama,escape from alcatraz,7.5
Rick Famuyiwa,Boris Kodjoe,Sanaa Lathan,Wendell Pierce,Comedy Drama Music Romance,brown sugar,6.8
Martin Lawrence,Faizon Love,Lynn Whitfield,Della Reese,Comedy Crime Drama Romance Thriller,a thin line between love and hate,6.1
Jonathan Levine,Joseph Gordon-Levitt,Anna Kendrick,Bryce Dallas Howard,Comedy Drama Romance,50/50,7.1
Masayuki Ochiai,James Kyson,David Denman,Daisy Betts,Horror Mystery Thriller,shutter,8.2
George A. Romero,Ted Danson,Hal Holbrook,Adrienne Barbeau,Comedy Fantasy Horror,creepshow,4.1
Tom Gormican,Mackenzie Davis,Lola Glaudini,Josh Pais,Comedy Romance,that awkward moment,6.1
Ken Shapiro,Brian Doyle-Murray,Dabney Coleman,Mary Kay Place,Comedy Fantasy Sci-Fi,modern problems,5.6
Justin Tipping,Tina Gilton,Natalie Stephany Aguilar,Justin Hall,Adventure,kicks,6.6
Kenneth Branagh,Keanu Reeves,Denzel Washington,Brian Blessed,Comedy Drama Romance,much ado about nothing,7.1
Peter R. Hunt,Telly Savalas,George Lazenby,Desmond Llewelyn,Action Adventure Thriller,on her majesty's secret service,6.6
Wes Craven,Miko Hughes,Heather Langenkamp,Tracy Middendorf,Fantasy Horror Mystery Thriller,new nightmare,6.5
John Schultz,Stephen Collins,Mark Webber,Keri Lynn Pratt,Comedy Drama Romance,drive me crazy,6.3
Doug Atchison,Curtis Armstrong,Sean Michael Afable,Tzi Ma,Drama,akeelah and the bee,6.9
Tamra Davis,Dave Chappelle,Harland Williams,Clarence Williams III,Comedy Crime,half baked,6.4
Jonas Elmer,J.K. Simmons,Frances Conroy,Harry Connick Jr.,Comedy Romance,new in town,5.7
Stephen Gaghan,Matt Damon,Amr Waked,Kayvan Novak,Drama Thriller,syriana,6.4
Mary Harron,Christian Bale,Justin Theroux,Samantha Mathis,Crime Drama,american psycho,7.3
Miguel Arteta,Jake Gyllenhaal,Zooey Deschanel,Tim Blake Nelson,Drama Romance,the good girl,6.2
Erik Canuel,Colm Feore,Richard Howland,Sarain Boylan,Action Comedy Crime Thriller,bon cop bad cop,6.4
Troy Duffy,Norman Reedus,Julie Benz,Clifton Collins Jr.,Action Crime Thriller,the boondock saints ii: all saints day,6
James Ivory,Alexandra Maria Lara,Omar Metwally,Diego Velazquez,Drama Romance,the city of your final destination,5.7
Nicole Holofcener,Christopher Nicholas Smith,Ben Falcone,Michaela Watkins,Comedy Drama Romance,enough said,6.7
Will Gluck,Emma Stone,Dan Byrd,Fred Armisen,Comedy Romance,easy a,6.8
Matty Rich,Jada Pinkett Smith,Joe Morton,Larenz Tate,Comedy Drama Romance,the inkwell,5.9
E. Elias Merhige,Eddie Izzard,Udo Kier,Catherine McCormack,Drama Horror,shadow of the vampire,6.7
Joe Nussbaum,Cameron Monaghan,Thomas McDonell,Aimee Teegarden,Comedy Drama,prom,
Matt Reeves,Mark Margolis,Michael Rapaport,Carol Kane,Comedy Romance,the pallbearer,5
Steve Rash,Barry Corbin,Nia Long,Jake Busey,Comedy,held up,5.1
Fina Torres,Harold Perrineau,John de Lancie,Mark Feuerstein,Comedy Fantasy Romance,woman on top,5.7
James Ivory,Anthony Hopkins,Vanessa Redgrave,Samuel West,Drama Romance,howards end,7.1
Duke Johnson,Jennifer Jason Leigh,Tom Noonan,David Thewlis,Animation Comedy Drama Romance,anomalisa,7.1
Mike Leigh,Jim Broadbent,Imelda Staunton,Phil Davis,Comedy Drama,another year,6.9
François Ozon,Catherine Deneuve,Isabelle Huppert,Emmanuelle Béart,Comedy Crime Musical Romance,8 women,5.6
Mark L. Lester,Cary-Hiroyuki Tagawa,Tia Carrere,Vernee Watson,Action Comedy Crime Thriller,showdown in little tokyo,6.2
David Dobkin,Janeane Garofalo,Vince Vieluf,Kevin Rahm,Comedy Crime,clay pigeons,6.2
Anna Boden,Zoë Kravitz,Jeremy Davies,Jim Gaffigan,Comedy Drama Romance,it's kind of a funny story,7
Nigel Cole,Bob Hoskins,Robbie Kay,Sally Hawkins,Biography Comedy Drama History,made in dagenham,6.7
Anand Tucker,Colin Firth,Jim Broadbent,Gina McKee,Biography Drama,when did you last see your father?,6.9
Steve James,Kurtwood Smith,Laurel Holloman,Amy Locane,Biography Drama Romance Sport,prefontaine,6.6
Michael Winner,Faye Dunaway,Marina Sirtis,John Gielgud,Adventure Drama,the wicked lady,4.1
Tomm Moore,Sean Lennon,Mick Lally,Evan McGuire,Adventure Animation Family Fantasy,the secret of kells,7.4
John Carney,James Corden,Karen Pittman,Mary Catherine Garrison,Drama Music,begin again,7.3
David Jacobson,Hunter Parrish,Bruce Dern,Rory Culkin,Drama Romance Thriller,down in the valley,5.9
Michael Corrente,Jerry Ferrara,Tony Devon,Alexa Havins,Crime Drama,brooklyn rules,6
Edward Hall,Rufus Sewell,Hayley Atwell,Charlotte Rampling,Drama Romance,restless,6.5
Keith Gordon,Robert Downey Jr.,Robin Wright,Alfre Woodard,Comedy Crime Musical Mystery,the singing detective,5.4
David Leland,Anna Friel,Catherine McCormack,Steven Mackintosh,Drama Romance War,the land girls,6.4
Andrew Currie,Alexia Fast,Henry Czerny,Kesun Loder,Comedy Drama Horror Sci-Fi,fido,6.5
Andrew Wilson,Will Ferrell,Eddie Griffin,Jacob Vargas,Comedy Drama Romance,the wendell baker story,5.4
Jonathan Lynn,Rupert Grint,Rupert Everett,Geoff Bell,Action Comedy Crime,wild target,6.4
Marc Schölermann,John de Lancie,Larry Drake,Johnny Whitworth,Crime Horror Thriller,pathology,5.7
Robert Moresco,Brian Dennehy,Brad Renfro,Dash Mihok,Crime Drama Thriller,10th & wolf,6.1
Thomas Vinterberg,Michael Angarano,Chris Owen,William Hootkins,Comedy Crime Drama Romance,dear wendy,5.8
Claudia Llosa,Ian Tracey,Zen McGrath,William Shimell,Drama,aloft,5.6
Katsuhiro Ôtomo,Mitsuo Iwata,Takeshi Kusao,Tesshô Genda,Action Animation Sci-Fi,akira,6
John Herzfeld,Paul Walker,Olivia Wilde,Jason Flemyng,Action Crime Thriller,the death and life of bobby z,6
Charles Binamé,Stephen McHattie,Roy Dupuis,Julie LeBreton,Biography Drama Sport,the rocket: the legend of rocket richard,6.8
Keith Parmer,Rachel Ann Mullins,Josh Henderson,Grant Bowler,Action Crime Drama Thriller,swelter,5.2
Dennie Gordon,Leehom Wang,Ruby Lin,Jack Kao,Action Adventure Comedy Romance,my lucky star,4
Ol Parker,Celia Imrie,Ben Miles,Darren Boyd,Comedy Drama Romance,imagine me & you,7.5
Bruce Beresford,Mckenna Grace,Lucy Fry,Natalie Coughlin,Drama,mr. church,7.3
François Ozon,Charlotte Rampling,Ludivine Sagnier,Jean-Claude Lecas,Crime Drama Mystery Thriller,swimming pool,6.5
James Nunn,Spencer Wilding,Mark Wingett,Kacey Clarke,Action Drama,green street 3: never back down,5.1
David Webb Peoples,Delroy Lindo,Joan Chen,Anna Katarina,Action Sci-Fi Sport,the blood of heroes,6.2
Michael Winnick,Scott Takeda,Helena Mattsson,Craig Sheffer,Action,code of honor,4
Bruce Beresford,Morgan Freeman,Jessica Tandy,Patti LuPone,Comedy Drama Family,driving miss daisy,7.3
George Tillman Jr.,Vanessa Williams,Mekhi Phifer,Vivica A. Fox,Comedy Drama,soul food,6.8
Stanley Tong,Françoise Yip,Anita Mui,Garvin Cross,Action Comedy,rumble in the bronx,6.8
David Oelhoffen,Viggo Mortensen,Reda Kateb,Ángela Molina,Drama War Western,far from men,6.8
Jason Reitman,J.K. Simmons,Cameron Bright,Todd Louiso,Comedy Drama,thank you for smoking,7.2
Eli Roth,Jay Hernandez,Lauren German,Stanislav Ianevski,Horror,hostel: part ii,5.8
Lone Scherfig,Dominic Cooper,Olivia Williams,Ellie Kendrick,Drama,an education,7
Anand Tucker,Frances Conroy,Bridgette Wilson-Sampras,Clyde Kusatsu,Drama Romance,shopgirl,5.8
Tony Richardson,Joely Richardson,Beau Bridges,Nastassja Kinski,Comedy Drama Romance,the hotel new hampshire,5.7
Joe Carnahan,Jason Patric,Chi McBride,Alan Van Sprang,Crime Drama Mystery Thriller,narc,6.7
Paul Gross,Molly Parker,Paul Gross,Kari Matchett,Comedy Drama Romance Sport,men with brooms,5.3
Charles Robert Carner,Ivana Milicevic,Jenny McCarthy,Richard Bull,Comedy Crime,witless protection,4.4
Russell Holt,Eric Johnson,Brenda Strong,Tiffany Dupont,Drama Romance,the work and the glory,6.2
Mike Judge,J.K. Simmons,Mila Kunis,Clifton Collins Jr.,Comedy Crime Romance,extract,5.8
Larry Charles,Jeff Bridges,Cheech Marin,Bruce Dern,Comedy Drama Music,masked and anonymous,5.2
Claude Miller,Sandrine Kiberlain,Edouard Baer,Roschdy Zem,Comedy Crime Drama Romance Thriller,alias betty,6.8
Michael Winterbottom,Samantha Morton,Om Puri,Natalie Mendoza,Drama Romance Sci-Fi Thriller,code 46,6.3
Sacha Bennett,Bob Hoskins,Jenny Agutter,Vincent Regan,Comedy,outside bet,6.2
Paul Haggis,Don Cheadle,Loretta Devine,Jennifer Esposito,Crime Drama Thriller,crash,7.3
Rodrigo García,Mia Wasikowska,Michael McElhatton,Mark Williams,Drama,albert nobbs,6.3
Jeta Amata,Akon,Nathin Butler,Razaaq Adoti,Action Crime Drama Thriller,black november,5.6
Siddharth Anand,Saif Ali Khan,Mary Goggin,Vic Aviles,Comedy Family Romance,ta ra rum pum,5.9
Vincent Paronnaud,Catherine Deneuve,Gena Rowlands,Danielle Darrieux,Animation Biography Drama War,persepolis,7.9
Joe Dante,Bruce Dern,Teri Polo,Haley Bennett,Adventure Fantasy Thriller,the hole,5.8
Dennis Gansel,Max Riemelt,Elyas M'Barek,Jennifer Ulrich,Drama Thriller,the wave,5.5
Nicolas Winding Refn,Keanu Reeves,Bella Heathcote,Charles Baker,Horror Thriller,the neon demon,6.5
Daniel Barber,Joseph Gilgun,Jack O'Connell,Sean Harris,Action Crime Drama Thriller,harry brown,6.8
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Romance,spider-man 3,6.2
Robert Marcarelli,George Coe,William Hootkins,Ayla Kell,Action Adventure Fantasy Sci-Fi Thriller,the omega code,4.4
Jason Reitman,J.K. Simmons,Jennifer Garner,Rainn Wilson,Comedy Drama Romance,juno,7
Ernie Barbarash,Darren Shahlavi,Aki Aleong,Brahim Achabbakhe,Action Thriller,pound of flesh,5.7
Guy Hamilton,Desmond Llewelyn,Lois Maxwell,Jill St. John,Action Adventure Thriller,diamonds are forever,6.4
Francis Ford Coppola,Al Pacino,Marlon Brando,Robert Duvall,Crime Drama,the godfather,8.7
Adrian Lyne,Michael Nouri,Cynthia Rhodes,Lee Ving,Drama Music Romance,flashdance,6.4
Marc Webb,Joseph Gordon-Levitt,Chloë Grace Moretz,Zooey Deschanel,Comedy Drama Romance,500 days of summer,7.2
Jane Campion,Holly Hunter,Ian Mune,Geneviève Lemon,Drama Music Romance,the piano,7.4
Steven Soderbergh,Channing Tatum,Alex Pettyfer,Matthew McConaughey,Comedy Drama,magic mike,6.1
Jonathan Liebesman,Sullivan Stapleton,Emma Caulfield,Angus Sampson,Horror Mystery Thriller,darkness falls,5.5
Guy Hamilton,Yaphet Kotto,Geoffrey Holder,Clifton James,Action Adventure Thriller,live and let die,6.5
Jay Russell,Clint Howard,Frankie Muniz,Cody Linley,Drama Family Sport,my dog skip,6.6
Adam Brooks,Ryan Reynolds,Sakina Jaffrey,Paulina Gerzon,Comedy Drama Romance,"definitely, maybe",6.9
Salim Akil,Gary Dourdan,Loretta Devine,Laz Alonso,Comedy Drama,jumping the broom,6.1
Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Drama Romance,the great gatsby,7.4
George Clooney,Robert Downey Jr.,Tate Donovan,Alex Borstein,Biography Drama History,"good night, and good luck.",7.1
Bennett Miller,Philip Seymour Hoffman,Michael J. Burg,Kwesi Ameyaw,Biography Crime Drama,capote,7.1
Robert Rodriguez,Quentin Tarantino,Steve Buscemi,Salma Hayek,Action Crime Thriller,desperado,6.9
Michael Winterbottom,Milla Jovovich,Sarah Polley,Shirley Henderson,Drama Romance Western,the claim,6
Michael Anderson,Farrah Fawcett,Jenny Agutter,Peter Ustinov,Action Adventure Sci-Fi,logan's run,6.7
Guy Hamilton,Christopher Lee,Hervé Villechaize,Desmond Llewelyn,Action Adventure Thriller,the man with the golden gun,6.5
Craig R. Baxley,Bill Duke,Vanity,Carl Weathers,Action Comedy Crime Thriller,action jackson,5.3
Neil Marshall,MyAnna Buring,Shauna Macdonald,Craig Conway,Adventure Horror Thriller,the descent,6.9
Don Kempf,Bill Murray,Michael Jordan,Bob Costas,Documentary Sport,michael jordan to the max,7.3
Matt Bettinelli-Olpin,Zach Gilford,Allison Miller,Vanessa Ray,Horror Mystery,devil's due,4.6
David O. Russell,Lily Tomlin,Mary Tyler Moore,David Patrick Kelly,Comedy,flirting with disaster,6.2
Rob Zombie,Sid Haig,Ken Foree,Lew Temple,Crime Horror,the devil's rejects,6.7
Rick Famuyiwa,Kimberly Elise,Rick Fox,Kiersey Clemons,Comedy Crime Drama,dope,7.1
Michael Rymer,LL Cool J,Omar Epps,Nia Long,Crime Drama Thriller,in too deep,6.8
Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,Action Adventure Thriller,skyfall,7.2
Rob Zombie,Sid Haig,Matthew McGrory,Erin Daniels,Horror,house of 1000 corpses,6.2
Sharron Miller,Bernard Fox,Elizabeth MacRae,Charles Aidman,Horror,alien zone,4.6
Ethan Coen,Michael Stuhlbarg,Fred Melamed,Peter Breitmayer,Comedy Drama,a serious man,6.8
Aaron Schneider,Bill Murray,Robert Duvall,Bill Cobbs,Drama Mystery,get low,6.7
Steve Miner,Julian Sands,Richard E. Grant,Lori Singer,Action Fantasy Horror Thriller,warlock,6.2
